species	habitat	feeding_mode	trophic_level	offspring_size	spawning_type	age_maturity	fecundity	length_infinity	growth_coefficient	length_max	age_max	length_infinity	relative_growth_rate	weight_infinity	maximum_age	age_at_maturity	Length_at_maturity	generation_time
Polyacanthonotus_rissoanus	bathydemersal	generalist	3,49	1	non-guarder	NA	31000	NA	NA	60	NA	33,21824387	0,351773428	307,2514685	7,473380106	2,173158653	18,52084639	775,3405558
Polymetme_corythaeola	benthopelagic	piscivorous	4,4	0,8	non-guarder	0,3	109000	6	5,9	7	1	8,83708919	1,327929821	4,569642106	1,924220444	0,548437076	5,799005571	5,064906502
Polymetme_thaeocoryla	bathydemersal	piscivorous	4,4	0,8	non-guarder	0,3	109000	6	5,9	22	1	8,83708919	1,327929821	4,569642106	1,924220444	0,548437076	5,799005571	5,064906502
Polyprion_americanus	demersal	generalist	4,14	2,1	non-guarder	12,8	7450000	128	0,07	156	47	136,2466018	0,082865172	36364,50303	38,48935991	8,836795886	70,42992559	1386688125
Pomatomus_saltatrix	pelagic	generalist	4,53	1,05	non-guarder	2	402247	127	0,18	110	9	96,58458488	0,181027829	10938,37228	10,50820925	3,06515881	41,23169526	1676,762891
Pomatoschistus_lozanoi	demersal	generalist	3,13	1	guarder	1	1003	9	0,89	8	2	8,890202794	0,803153281	4,98643625	2,826088073	0,650385374	5,108045053	5,499244637
Pomatoschistus_microps	demersal	benthivorous	3,29	1,16	guarder	1	3517	11	0,29	5	3	11,55489436	0,565862321	11,17882573	3,792750201	0,892025398	6,402135273	10,5822681
Pomatoschistus_minutus	demersal	benthivorous	3,22	1,15	guarder	1	3654	8	1,11	7	3	7,989099482	0,916937112	3,342878492	2,276402112	0,532492836	4,770503441	3,947956864
Pomatoschistus_norvegicus	demersal	benthivorous	3,26	0,88	guarder	1	2995	9	0,93	8	1,8	9,891579757	0,724626597	6,904212368	3,089802041	0,715347445	5,615701847	7,329103593
Pomatoschistus_pictus	demersal	benthivorous	3,12	0,78	guarder	1	1000	9	0,93	6	2	9,891579757	0,724626597	6,904212368	3,089802041	0,715347445	5,615701847	7,329103593
Pontinus_kuhlii	bathydemersal	generalist	4,05	0,9	non-guarder	2	48851	52	0,08	50	18	48,29400192	0,105177107	968,966411	17,69645472	6,466049491	24,52334412	1377598,922
Prionace_glauca	pelagic	piscivorous	4,35	425	bearer	7,3	70	269	0,21	320	20	333,9675555	0,127963337	219132,3832	20,65809299	8,514579177	221,841097	2858869,476
Protomyctophum_arcticum	bathypelagic	planktivorous	3,1	0,5	non-guarder	0,5	3380	9	0,38	4	1,3	8,86607341	0,686904721	5,749004472	3,267585225	0,959135074	5,161974258	10,84755736
Pterycombus_brama	pelagic	generalist	4,4	1,6	non-guarder	4	NA	71	0,08	46	10	51,05266077	0,230757035	1543,772509	13,36953452	3,202047677	27,41288552	12814,10767
Pungitius_pungitius	benthopelagic	generalist	3,35	1,25	guarder	1,5	394	4	1,6	8	5	4,585677607	1,599021162	0,658033854	3,074396371	0,615230142	3,56025128	5,239659032
Raja_asterias	demersal	benthivorous	3,5	45	non-guarder	4,8	70	109	0,14	70	21	100,6159881	0,153558812	4664,465493	16,41970487	7,304440044	68,33119364	450807,8253
Raja_brachyura	demersal	generalist	3,76	90	non-guarder	4,8	52	129	0,15	115	15	129,5705762	0,138602929	9689,392933	18,11380057	8,276648153	90,49974977	732142,1066
Raja_clavata	demersal	generalist	3,84	65	non-guarder	5,4	94	111	0,13	139	15	118,2758093	0,131619489	7273,630027	18,04963637	7,692362354	78,99631159	1066397,793
Raja_microocellata	demersal	piscivorous	3,89	75	non-guarder	4,8	58	137	0,07	88	24	130,3937934	0,115011869	10308,62293	21,02827974	9,51526683	85,82231719	10409172,25
Raja_miraletus	demersal	generalist	3,8	40	non-guarder	4,8	40	90	0,18	63	21	91,03847513	0,173665212	3473,239249	14,73040293	6,531014771	62,05535037	61094,08563
Raja_montagui	demersal	generalist	3,88	60	non-guarder	3,8	42	74	0,19	77	18	78,9485189	0,192253833	2164,681635	13,75330883	5,992370273	56,72263263	24656,70536
Raja_undulata	demersal	benthivorous	3,5	70	non-guarder	8,8	38	111	0,1	114	28,9	111,4805436	0,143841249	6739,164784	17,06978449	7,771268151	71,74634841	325990,4511
Rajella_bathyphila	bathydemersal	benthivorous	3,37	48	non-guarder	5	55	108	0,12	90	14	103,5431965	0,140511446	5023,295494	16,53429249	8,135706156	66,85285848	4125460,456
Rajella_bigelowi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	103,5431965	0,140511446	5023,295494	16,53429249	8,135706156	66,85285848	4125460,456
Rajella_fyllae	bathydemersal	benthivorous	3,37	48	non-guarder	5	47	98	0,12	60	14	103,5431965	0,140511446	5023,295494	16,53429249	8,135706156	66,85285848	4125460,456
Rajella_kukujevi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	103,5431965	0,140511446	5023,295494	16,53429249	8,135706156	66,85285848	4125460,456
Raniceps_raninus	demersal	benthivorous	3,77	0,83	non-guarder	3,3	2549502	54	0,24	28	8	47,07665798	0,272313413	906,0309837	10,4459865	2,349485895	26,81245495	1003,364247
Regalecus_glesne	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54,20518783	0,239207168	1354,832088	10,53667685	3,127580792	28,82623215	11650,86256
Rhinochimaera_atlantica	bathydemersal	benthivorous	3,55	125	non-guarder	NA	NA	NA	NA	140	NA	96,39969505	0,161174921	6557,550394	17,14389529	5,79373331	56,84275801	7732035,557
Rostroraja_alba	demersal	piscivorous	4,41	154	non-guarder	5	104	120	0,13	230	21,3	103,5431965	0,140511446	5023,295494	16,53429249	8,135706156	66,85285848	4125460,456
Rouleina_attrita	bathypelagic	generalist	3,67	2,7	non-guarder	NA	3754	51	0,13	48	4	33,41458021	0,280767055	318,1321543	12,03087647	3,641272858	22,42274081	2382,173526
Salmo_salar	benthopelagic	generalist	4,5	5,73	non-guarder	4,2	9606	137	0,23	76	13	123,2518901	0,274403479	18394,75929	6,451923568	1,952148826	55,95786145	67,28135471
Sander_lucioperca	pelagic	piscivorous	4,04	0,9	guarder	4	685311	98	0,12	130	17	82,98276617	0,163411711	6098,810846	8,443983352	3,136688985	36,12559235	2937,187718
Sarda_sarda	pelagic	piscivorous	4,5	1,14	non-guarder	1	1999479	77	0,5	91	5	74,0055845	0,442259677	3559,460289	3,45781061	1,166556691	36,79418845	16,23172234
Sardina_pilchardus	pelagic	planktivorous	3,06	1,3	non-guarder	1,7	169000	20	0,36	27	14	19,6221591	0,409491494	62,57484254	8,868868365	3,169885052	13,58268601	346,7335712
Sarpa_salpa	benthopelagic	herbivorous	2	1,14	non-guarder	2	856136	45	0,2	45	15	42,82558886	0,226865685	1250,775076	11,47509691	2,816504526	20,52434416	856,3242991
Schedophilus_medusophagus	pelagic	planktivorous	4	1,3	non-guarder	6	NA	66	0,24	51	12	50,42094427	0,274593546	1417,557508	10,88639579	2,607394468	27,93859357	2128,27653
Scomber_colias	pelagic	generalist	3,91	1,15	non-guarder	1	718250	42	0,31	50	7	45,22249418	0,353356738	1051,455411	8,884095779	2,321886288	26,97652229	365,4748487
Scomber_japonicus	pelagic	planktivorous	3,38	1,1	non-guarder	2	540129	42	0,27	70	18	45,05462978	0,31170553	1127,861682	8,608876048	2,333790258	26,4924904	258,3912521
Scomber_scombrus	pelagic	generalist	3,63	1,15	non-guarder	2,2	598563	41	0,34	50	21	39,66512378	0,321182191	638,6794582	12,86774987	3,028596846	26,77367706	2200,665595
Scopelogadus_beanii	bathypelagic	planktivorous	3,88	0,5	non-guarder	8	42700	18	0,11	12	8,5	24,82943018	0,278052529	131,8918349	8,71929417	2,588092791	13,79817197	1668,622786
Scophthalmus_maximus	demersal	benthivorous	4,36	1	non-guarder	4	5000000	59	0,27	82	25	56,19165984	0,252554122	2972,587936	15,10046712	2,54070701	27,29966431	1995,089591
Scophthalmus_rhombus	demersal	benthivorous	4,42	1,3	non-guarder	3	10000000	44	0,42	46	5,7	41,17724691	0,429926	858,6099555	7,21025772	1,407062063	19,39772735	55,11242744
Scorpaena_loppei	demersal	benthivorous	3,5	0,9	non-guarder	1	103000	12	0,51	13	5	12,74283806	0,37751517	15,73203345	5,03072055	1,861722651	7,169158574	42,28402611
Scorpaena_notata	demersal	benthivorous	3,7	0,88	non-guarder	2	15000	18	0,31	18	8	18,89224431	0,242189883	52,28000556	7,164696508	2,749816016	10,04401318	280,987013
Scorpaena_porcus	demersal	benthivorous	3,92	0,92	non-guarder	3	50000	26	0,17	30	7	34,05879768	0,145937596	276,4745794	8,522453205	3,782930064	16,13386302	2729,741121
Scorpaena_scrofa	demersal	benthivorous	4,25	0,88	non-guarder	2	247407	57	0,08	54	25	32,62020047	0,132883389	279,8708765	12,34170519	4,852934749	16,37678958	28511,1195
Scyliorhinus_canicula	demersal	generalist	3,82	80	non-guarder	5	2	88	0,2	70	12	71,0699373	0,214406466	1123,02565	11,45365195	4,442204391	46,52340303	8426,48856
Scyliorhinus_stellaris	reef-associated	generalist	4,03	160	non-guarder	5	77	88	0,2	170	19	84,45139075	0,200777901	2079,82596	12,75695846	4,948978315	54,96095578	56249,99568
Scymnodon_ringens	bathypelagic	generalist	4,22	410	bearer	79,3	16	317	0,06	110	223	124,8858801	0,091852536	9379,293225	29,8368247	13,13947277	80,6735456	1,659E+12
Sebastes_mentella	bathypelagic	generalist	4,12	6	bearer	11,5	22450	43	0,09	58	75	45,57212459	0,092031327	1080,394558	53,19110243	12,11269439	29,57894302	3,81031E+12
Sebastes_norvegicus	benthopelagic	generalist	4,04	8	bearer	11	142988	39	0,1	100	60	45,89383465	0,096385046	1041,844397	55,58648701	12,28830078	30,5722249	4,63095E+12
Sebastes_viviparus	demersal	generalist	4,03	5,5	bearer	20	20000	36	0,07	35	40	38,17682696	0,121035217	646,4319426	44,97767778	9,877660825	25,58112536	12266669808
Serranus_cabrilla	demersal	generalist	3,35	0,91	non-guarder	3	45000	30	0,19	27	7	28,11397809	0,215483376	200,9540314	6,405620124	2,91553008	13,48960485	200,919228
Serranus_hepatus	demersal	benthivorous	3,47	0,91	non-guarder	3	45000	14	0,28	25	5	15,83831478	0,320260202	41,04349905	6,467437342	2,606195895	8,558354276	80,28344602
Serranus_scriba	demersal	benthivorous	3,82	1,28	non-guarder	3	45000	30	0,2	32	14	31,0052173	0,202928363	317,6945083	10,36187545	4,070304065	16,19450103	1172,403409
Serrivomer_beanii	bathypelagic	generalist	3,88	NA	NA	NA	NA	76	0,3	78	NA	71,55207232	0,213753033	1905,560859	9,979770171	3,136479263	39,88903038	3032,635492
Solea_senegalensis	demersal	benthivorous	3,25	1,28	non-guarder	2,9	500000	53	0,18	60	26,4	57,65268644	0,206581132	1520,391298	19,79336389	3,567400591	31,32634107	90197,11191
Solea_solea	demersal	benthivorous	3,21	1,28	non-guarder	2,9	300000	36	0,31	60	26,4	38,32500553	0,318889681	408,8835859	11,92145633	1,826715701	19,28694394	1092,837567
Somniosus_microcephalus	benthopelagic	piscivorous	4,22	400	bearer	156	10	550	0,01	800	392	124,8858801	0,091852536	9379,293225	29,8368247	13,13947277	80,6735456	1,659E+12
Somniosus_rostratus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	124,8858801	0,091852536	9379,293225	29,8368247	13,13947277	80,6735456	1,659E+12
Sparus_aurata	demersal	generalist	3,7	1	non-guarder	3,1	856136	57	0,25	70	11	56,29135642	0,246296319	2986,060405	11,87175861	2,882320207	29,56223148	752,707254
Spectrunculus_grandis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61,81400534	0,219159892	1659,740469	12,77551829	3,664105668	34,72134714	9451,077149
Sphoeroides_pachygaster	benthopelagic	piscivorous	4,2	0,88	non-guarder	1	167000	30	0,51	41	3	29,48728829	0,547566345	370,2953504	5,167650577	1,438464282	16,90923228	21,22478244
Spicara_maena	benthopelagic	planktivorous	4,15	1,8	non-guarder	2	61325	20	0,25	16	5	21,06505654	0,290446032	140,9769804	8,302877051	2,009623754	10,51038498	146,1534239
Spicara_smaris	benthopelagic	planktivorous	3	1,8	guarder	2	61325	21	0,37	21	5,5	19,52054834	0,402522693	80,80811478	5,736232208	1,36845068	10,01346868	34,83857716
Spinachia_spinachia	benthopelagic	generalist	3,5	1,96	guarder	1	432	6	2,23	16	1	14,26264514	0,919030851	21,73078175	4,811099568	0,994646753	10,08037715	16,7499991
Spondyliosoma_cantharus	benthopelagic	generalist	3,34	1,09	non-guarder	2,8	90413	56	0,3	40	14	46,35879517	0,192605018	1839,925639	14,42747154	3,455221113	23,30854061	4228,710125
Sprattus_sprattus	pelagic	planktivorous	3,01	1,1	non-guarder	2	14630	15	0,6	15	6	15,14119173	0,521119314	27,26398572	6,409618197	2,174595521	11,14318516	58,79540128
Squalus_acanthias	benthopelagic	generalist	4,37	260	bearer	8,8	11	96	0,07	120	75	117,3282503	0,079048702	5068,099623	24,5364532	12,99462958	74,65902376	9833034373
Squalus_blainville	demersal	generalist	3,97	230	bearer	20,8	4	98	0,09	100	28	90,85902914	0,0944586	2747,202105	23,2903319	11,42203573	57,30352574	486584801,6
Symbolophorus_veranyi	bathypelagic	planktivorous	3,25	0,5	non-guarder	0,5	3380	14	0,43	13	5	11,12951869	0,488082999	10,95356058	4,616246624	1,336033028	6,612814206	28,59176922
Symphodus_bailloni	reef-associated	benthivorous	3,36	0,91	guarder	1,7	160631	23	0,35	20	9	16,99452267	0,416934917	68,29413353	6,295804708	1,547861842	9,076781758	41,13084594
Symphodus_melops	reef-associated	benthivorous	3,38	0,91	guarder	3	160631	25	0,25	21	9	22,15580287	0,284343985	152,7129359	8,644470922	2,083259454	11,45210684	151,8780165
Symphodus_roissali	reef-associated	benthivorous	3,47	0,83	guarder	1	160631	15	0,37	14	8	15,04180657	0,439702645	46,66038146	5,464939238	1,384806014	8,013946061	20,45181377
Symphurus_nigrescens	demersal	benthivorous	3,5	0,8	non-guarder	2	66042	17	0,38	12	5	19,39997829	0,436085633	46,47525781	6,698391828	1,742645728	10,84230958	120,0280923
Synaphobranchus_kaupii	bathydemersal	generalist	4,09	1	non-guarder	NA	120000	137	0,52	54	NA	90,20698943	0,211908908	4127,914658	10,85669283	3,385218972	47,59889678	19003,1546
Synchiropus_phaeton	demersal	benthivorous	3,38	0,83	non-guarder	3,3	5000	21	0,47	18	5	29,33764866	0,443452556	230,8733349	6,835082861	1,757462444	17,25278623	124,2880741
Syngnathus_acus	demersal	benthivorous	3,33	2,05	bearer	1,5	221	23	0,63	21	3	18,15791151	0,754231939	21,12789678	4,114842022	1,063197641	11,37230707	27,27796084
Syngnathus_rostellatus	demersal	planktivorous	3,69	1,41	bearer	1,5	100	20	0,75	19	3	19,42367355	0,683511751	25,32883557	4,510811286	1,162076242	12,29578499	30,24561176
Syngnathus_typhle	pelagic	planktivorous	4,31	1,98	bearer	1,5	175	26	0,56	35	3	18,53107497	0,684624439	19,53613157	4,357914467	1,141819935	11,67810173	29,56433535
Taurulus_bubalis	demersal	benthivorous	3,59	1,7	non-guarder	1	3800	19	0,23	17	4	20,52183968	0,246537299	84,44151438	9,525739886	2,871665401	12,16208601	994,2193501
Thorogobius_ephippiatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14,70929444	0,426648592	26,02379976	5,559928577	1,288467139	7,607539674	27,38604542
Thunnus_thynnus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	376,0963039	0,101468924	701125,4069	27,11295187	7,474233807	190,7340519	27706495,95
Torpedo_marmorata	reef-associated	benthivorous	4,5	100	bearer	8	19	91	0,08	100	16	81,6398447	0,129392612	2814,322526	19,65297607	7,91964037	50,55668438	10694180,93
Torpedo_torpedo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55,04369826	0,163142859	857,2484057	15,84070962	6,312555285	35,23393626	214295,9046
Trachinus_draco	demersal	generalist	4,18	1	non-guarder	1	160000	35	0,16	53	13,5	38,70621519	0,351392033	662,3687848	9,387624161	2,197243156	21,49901727	653,8245679
Trachipterus_arcticus	bathypelagic	piscivorous	4,5	2,41	non-guarder	NA	200000	303	0,07	300	NA	257,6680933	0,070076244	152516,2131	31,45151167	9,967284037	117,8765397	20068741061
Trachurus_mediterraneus	pelagic	generalist	3,77	0,9	non-guarder	1,4	257524	34	0,31	26	12	35,88085712	0,304040967	472,3504258	11,67419394	2,00800577	19,98255103	182,3509413
Trachurus_picturatus	pelagic	generalist	3,32	0,9	non-guarder	3,5	276449	47	0,17	60	18	59,49667013	0,166591064	2346,485887	18,06093864	3,462546941	29,81945999	9788,560509
Trachurus_trachurus	pelagic	generalist	3,71	0,9	non-guarder	2,6	263139	44	0,18	41	40	38,7086508	0,207881515	609,864818	13,74160112	2,537309621	19,79704603	991,3564704
Trachyrincus_murrayi	benthopelagic	generalist	3,47	1,5	non-guarder	12,4	14191	47	0,28	48	11	48,22034273	0,181885514	768,986458	23,96010866	6,446533502	30,41065512	1135707,802
Trachyrincus_scabrus	bathydemersal	generalist	3,64	1,5	non-guarder	12,4	14191	47	0,28	22	11	46,53871908	0,199206958	685,8549492	22,27723068	5,954362885	29,62045987	141236,8954
Trichiurus_lepturus	benthopelagic	piscivorous	4,42	1,74	non-guarder	3,7	130000	113	0,3	213	15	96,776047	0,283645566	886,3414164	6,903383543	1,996860576	43,2206061	633,8257657
Trigla_lyra	bathydemersal	benthivorous	3,65	1,4	non-guarder	2,8	108000	61	0,15	47	8	55,44947018	0,217968526	1724,487539	9,849929594	3,306448797	29,28659884	827,518011
Triglops_murrayi	demersal	benthivorous	3,45	2	non-guarder	3,5	450	33	0,14	20	10	29,91218848	0,191141867	243,1900381	11,66690195	3,629432095	16,84439786	11114,55987
Trisopterus_esmarkii	benthopelagic	planktivorous	3,24	1,14	non-guarder	1,7	205595	21	0,55	21	5	21,63890223	0,562353455	65,84376111	4,543644477	1,146962499	13,57759288	12,24792728
Trisopterus_luscus	benthopelagic	generalist	3,57	1,1	non-guarder	1,5	521738	46	0,47	46	6	42,14845263	0,358840514	711,3749838	5,525997638	1,459391755	20,56834303	28,27673192
Trisopterus_minutus	benthopelagic	generalist	3,73	1,04	non-guarder	2	363667	21	0,44	24	8	24,66963237	0,426203568	127,6528554	5,212921569	1,324737469	13,57194068	21,02449773
Umbrina_canariensis	demersal	benthivorous	3,37	0,75	non-guarder	2,3	311725	57	0,26	80	15	57,67021762	0,269508808	1738,89253	11,34693227	2,722768782	31,13641067	597,2296162
Uranoscopus_scaber	demersal	generalist	4,38	2	non-guarder	1,5	10000	36	0,19	40	5	37,81574869	0,271394225	625,5919436	5,893248049	1,758386389	17,97075918	83,16263707
Venefica_proboscidea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65,56685841	0,215817451	1525,534832	10,56775142	3,25279289	36,41097235	13127,54398
Vinciguerria_poweriae	bathypelagic	planktivorous	3,09	0,68	non-guarder	0,3	109000	6	5,9	2	0,6	5,714687512	2,33639993	1,158956116	1,078461387	0,308324005	3,877780707	2,480081914
Xenodermichthys_copei	bathypelagic	generalist	3,19	2,7	non-guarder	NA	3754	51	0,13	31	26	33,41458021	0,280767055	318,1321543	12,03087647	3,641272858	22,42274081	2382,173526
Xiphias_gladius	pelagic	piscivorous	4,53	1,7	non-guarder	5,5	9250000	285	0,09	225	19	260,5520161	0,138368053	187079,8623	15,04760589	4,254243558	111,3849641	63997,65305
Zenopsis_conchifer	benthopelagic	generalist	4,5	2	non-guarder	4	292500	60	0,19	80	29	54,97774806	0,201113855	2141,543311	15,24800619	4,071357897	31,28253183	34407,55562
Zeugopterus_punctatus	demersal	benthivorous	3,99	1	non-guarder	2,7	10000000	55	0,2	25	10,2	40,33229212	0,265022216	698,3850226	10,77361096	2,318644906	19,39448197	2057,494546
Zeugopterus_regius	demersal	generalist	3,99	1,09	non-guarder	2,7	10000000	66	0,23	20	9,5	40,33229212	0,265022216	698,3850226	10,77361096	2,318644906	19,39448197	2057,494546
Zeus_faber	benthopelagic	piscivorous	4,5	2	non-guarder	4	30000	69	0,15	60	18	54,5033306	0,23298514	2703,988869	14,96035204	3,648408145	31,7305952	2232,363464
Zoarces_viviparus	demersal	benthivorous	3,73	45	bearer	1,5	100	107	0,09	32	14	32,86441308	0,251431271	222,0685777	9,406421192	2,479601517	18,42478111	526,7461886
